State,District,Year,Month,Hour,Weather_Condition,Road_Type,Vehicle_Type,Cause_of_Accident,Accident_Severity
Tamil Nadu,Pune,2017,5,11,Clear,National Highway,Two-Wheeler,Wrong Side Driving,Minor Injury
Tamil Nadu,Pune,2019,8,15,Cloudy,National Highway,Truck,Overspeeding,Grievous Injury
Maharashtra,Kochi,2017,12,11,Foggy,Urban Road,Bus,Mechanical Failure,Grievous Injury
Rajasthan,Mumbai,2021,4,20,Rainy,State Highway,Car,Drunk Driving,Grievous Injury
Kerala,Kochi,2023,9,9,Rainy,State Highway,Car,Poor Road Condition,Grievous Injury
Madhya Pradesh,Nagpur,2019,12,8,Rainy,Rural Road,Two-Wheeler,Drunk Driving,Fatal
Kerala,Pune,2020,6,20,Foggy,Urban Road,Car,Poor Road Condition,Fatal
Telangana,Chennai,2017,6,17,Cloudy,State Highway,Truck,Signal Jumping,Minor Injury
Madhya Pradesh,Nagpur,2019,3,3,Cloudy,Rural Road,Bus,Poor Road Condition,Grievous Injury
Telangana,Pune,2023,3,7,Foggy,Rural Road,Two-Wheeler,Drunk Driving,Grievous Injury
Andhra Pradesh,Ahmedabad,2020,4,22,Cloudy,National Highway,Bus,Wrong Side Driving,Minor Injury
Karnataka,Hyderabad,2023,1,20,Foggy,Rural Road,Two-Wheeler,Mechanical Failure,Minor Injury
Maharashtra,Bhopal,2018,6,3,Foggy,Rural Road,Auto Rickshaw,Drunk Driving,Minor Injury
Madhya Pradesh,Nagpur,2022,1,15,Rainy,Urban Road,Car,Drunk Driving,Minor Injury
Madhya Pradesh,Bhopal,2021,11,20,Rainy,National Highway,Auto Rickshaw,Poor Road Condition,Fatal
Andhra Pradesh,Bhopal,2023,4,22,Clear,National Highway,Car,Wrong Side Driving,Grievous Injury
Rajasthan,Pune,2021,7,20,Foggy,National Highway,Auto Rickshaw,Drunk Driving,Grievous Injury
Tamil Nadu,Nagpur,2023,12,7,Rainy,Rural Road,Bus,Wrong Side Driving,Fatal
Andhra Pradesh,Hyderabad,2018,6,6,Rainy,National Highway,Truck,Drunk Driving,Minor Injury
Gujarat,Ahmedabad,2023,8,22,Rainy,State Highway,Two-Wheeler,Wrong Side Driving,Grievous Injury
Tamil Nadu,Bengaluru,2023,4,23,Cloudy,Urban Road,Car,Drunk Driving,Grievous Injury
Maharashtra,Chennai,2019,9,12,Rainy,Urban Road,Two-Wheeler,Mechanical Failure,Minor Injury
Tamil Nadu,Bhopal,2022,10,7,Cloudy,Rural Road,Truck,Signal Jumping,Minor Injury
Rajasthan,Hyderabad,2018,8,21,Rainy,National Highway,Auto Rickshaw,Signal Jumping,Minor Injury
Tamil Nadu,Jaipur,2020,5,6,Cloudy,Urban Road,Bus,Overspeeding,Minor Injury
Maharashtra,Jaipur,2022,6,23,Cloudy,Rural Road,Two-Wheeler,Signal Jumping,Minor Injury
Rajasthan,Bengaluru,2017,5,4,Rainy,Rural Road,Auto Rickshaw,Wrong Side Driving,Minor Injury
Kerala,Bengaluru,2019,6,17,Foggy,Urban Road,Car,Wrong Side Driving,Grievous Injury
Madhya Pradesh,Bengaluru,2022,1,22,Clear,National Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Madhya Pradesh,Chennai,2017,4,18,Clear,National Highway,Two-Wheeler,Signal Jumping,Grievous Injury
Telangana,Chennai,2018,9,9,Foggy,State Highway,Car,Poor Road Condition,Fatal
Kerala,Ahmedabad,2023,4,10,Rainy,State Highway,Truck,Wrong Side Driving,Grievous Injury
Kerala,Bhopal,2021,2,7,Foggy,National Highway,Auto Rickshaw,Mechanical Failure,Minor Injury
Tamil Nadu,Mumbai,2022,6,5,Rainy,State Highway,Two-Wheeler,Wrong Side Driving,Fatal
Madhya Pradesh,Jaipur,2022,2,10,Rainy,State Highway,Auto Rickshaw,Poor Road Condition,Grievous Injury
Maharashtra,Pune,2017,3,15,Rainy,Urban Road,Bus,Mechanical Failure,Fatal
Uttar Pradesh,Pune,2017,7,3,Rainy,National Highway,Auto Rickshaw,Mechanical Failure,Minor Injury
Uttar Pradesh,Bengaluru,2021,4,1,Rainy,Urban Road,Auto Rickshaw,Mechanical Failure,Grievous Injury
Rajasthan,Kochi,2017,1,12,Foggy,Urban Road,Car,Drunk Driving,Minor Injury
Madhya Pradesh,Jaipur,2017,9,6,Foggy,Rural Road,Auto Rickshaw,Overspeeding,Grievous Injury
Madhya Pradesh,Mumbai,2022,6,16,Clear,National Highway,Truck,Poor Road Condition,Grievous Injury
Uttar Pradesh,Mumbai,2021,9,22,Rainy,Urban Road,Auto Rickshaw,Wrong Side Driving,Grievous Injury
Madhya Pradesh,Pune,2021,3,12,Foggy,State Highway,Bus,Drunk Driving,Grievous Injury
Tamil Nadu,Kochi,2023,5,9,Foggy,Rural Road,Auto Rickshaw,Poor Road Condition,Minor Injury
Gujarat,Mumbai,2022,9,12,Rainy,State Highway,Car,Overspeeding,Minor Injury
Karnataka,Jaipur,2023,6,9,Rainy,Rural Road,Bus,Drunk Driving,Grievous Injury
Kerala,Bhopal,2018,2,6,Foggy,State Highway,Car,Wrong Side Driving,Minor Injury
Telangana,Hyderabad,2018,1,9,Rainy,State Highway,Truck,Poor Road Condition,Fatal
Rajasthan,Kochi,2022,9,15,Cloudy,State Highway,Truck,Mechanical Failure,Minor Injury
Gujarat,Mumbai,2017,1,2,Foggy,Urban Road,Car,Drunk Driving,Minor Injury
Uttar Pradesh,Kochi,2019,5,3,Clear,National Highway,Truck,Overspeeding,Grievous Injury
Kerala,Kochi,2018,1,3,Rainy,Rural Road,Car,Overspeeding,Grievous Injury
Madhya Pradesh,Bhopal,2018,5,3,Cloudy,Urban Road,Two-Wheeler,Overspeeding,Minor Injury
Telangana,Jaipur,2022,5,15,Clear,Rural Road,Auto Rickshaw,Poor Road Condition,Minor Injury
Madhya Pradesh,Pune,2023,7,8,Clear,Urban Road,Two-Wheeler,Drunk Driving,Minor Injury
Maharashtra,Bhopal,2022,7,5,Clear,Rural Road,Truck,Overspeeding,Minor Injury
Maharashtra,Mumbai,2019,11,9,Rainy,Rural Road,Car,Signal Jumping,Minor Injury
Telangana,Bengaluru,2019,10,3,Clear,State Highway,Car,Poor Road Condition,Grievous Injury
Telangana,Bhopal,2021,1,22,Foggy,Rural Road,Car,Overspeeding,Minor Injury
Uttar Pradesh,Bengaluru,2022,9,11,Foggy,Rural Road,Car,Overspeeding,Fatal
Telangana,Nagpur,2018,1,9,Rainy,State Highway,Auto Rickshaw,Drunk Driving,Minor Injury
Tamil Nadu,Pune,2023,5,11,Rainy,Urban Road,Bus,Wrong Side Driving,Grievous Injury
Madhya Pradesh,Jaipur,2023,7,18,Clear,Urban Road,Two-Wheeler,Drunk Driving,Minor Injury
Gujarat,Hyderabad,2020,12,18,Rainy,National Highway,Truck,Drunk Driving,Grievous Injury
Andhra Pradesh,Kochi,2020,8,21,Foggy,National Highway,Car,Signal Jumping,Fatal
Telangana,Bengaluru,2017,2,23,Foggy,National Highway,Two-Wheeler,Wrong Side Driving,Grievous Injury
Rajasthan,Hyderabad,2018,1,0,Foggy,National Highway,Bus,Drunk Driving,Grievous Injury
Maharashtra,Hyderabad,2020,4,3,Rainy,Rural Road,Two-Wheeler,Signal Jumping,Fatal
Tamil Nadu,Bengaluru,2023,12,12,Foggy,Rural Road,Truck,Drunk Driving,Minor Injury
Kerala,Hyderabad,2018,4,7,Rainy,National Highway,Car,Signal Jumping,Minor Injury
Andhra Pradesh,Kochi,2022,10,21,Cloudy,State Highway,Truck,Poor Road Condition,Grievous Injury
Gujarat,Ahmedabad,2018,12,13,Clear,National Highway,Car,Mechanical Failure,Minor Injury
Andhra Pradesh,Nagpur,2020,6,15,Cloudy,Urban Road,Bus,Overspeeding,Grievous Injury
Telangana,Bengaluru,2023,1,1,Foggy,Rural Road,Truck,Overspeeding,Grievous Injury
Uttar Pradesh,Kochi,2018,1,7,Clear,State Highway,Two-Wheeler,Drunk Driving,Grievous Injury
Maharashtra,Pune,2019,3,12,Foggy,Urban Road,Bus,Signal Jumping,Minor Injury
Maharashtra,Bengaluru,2017,5,0,Foggy,State Highway,Truck,Mechanical Failure,Minor Injury
Kerala,Kochi,2021,12,11,Cloudy,State Highway,Car,Overspeeding,Fatal
Uttar Pradesh,Kochi,2023,6,16,Foggy,National Highway,Bus,Drunk Driving,Minor Injury
Madhya Pradesh,Bhopal,2020,5,6,Clear,Urban Road,Car,Poor Road Condition,Minor Injury
Karnataka,Ahmedabad,2022,5,15,Foggy,National Highway,Auto Rickshaw,Drunk Driving,Grievous Injury
Tamil Nadu,Bengaluru,2021,9,13,Clear,Urban Road,Two-Wheeler,Signal Jumping,Fatal
Maharashtra,Jaipur,2017,2,9,Cloudy,Rural Road,Car,Wrong Side Driving,Minor Injury
Rajasthan,Kochi,2023,12,2,Rainy,Urban Road,Truck,Poor Road Condition,Minor Injury
Maharashtra,Nagpur,2023,12,11,Foggy,Rural Road,Auto Rickshaw,Drunk Driving,Grievous Injury
Andhra Pradesh,Bhopal,2019,1,7,Cloudy,Rural Road,Bus,Mechanical Failure,Fatal
Maharashtra,Kochi,2019,6,15,Foggy,National Highway,Truck,Mechanical Failure,Fatal
Maharashtra,Bengaluru,2019,9,23,Clear,Rural Road,Bus,Wrong Side Driving,Grievous Injury
Karnataka,Mumbai,2019,7,0,Foggy,National Highway,Auto Rickshaw,Mechanical Failure,Minor Injury
Karnataka,Kochi,2020,8,16,Rainy,State Highway,Truck,Signal Jumping,Minor Injury
Gujarat,Chennai,2023,5,5,Foggy,State Highway,Car,Drunk Driving,Minor Injury
Madhya Pradesh,Mumbai,2020,10,0,Rainy,State Highway,Truck,Signal Jumping,Grievous Injury
Rajasthan,Kochi,2018,4,23,Rainy,Urban Road,Two-Wheeler,Wrong Side Driving,Minor Injury
Maharashtra,Hyderabad,2022,6,14,Foggy,Rural Road,Car,Wrong Side Driving,Minor Injury
Maharashtra,Kochi,2018,3,12,Cloudy,National Highway,Two-Wheeler,Signal Jumping,Minor Injury
Tamil Nadu,Pune,2022,1,5,Foggy,State Highway,Truck,Poor Road Condition,Minor Injury
Karnataka,Hyderabad,2017,11,20,Rainy,National Highway,Truck,Overspeeding,Minor Injury
Rajasthan,Bengaluru,2018,4,12,Cloudy,State Highway,Bus,Wrong Side Driving,Minor Injury
Kerala,Nagpur,2017,9,21,Rainy,Rural Road,Truck,Drunk Driving,Grievous Injury
Gujarat,Mumbai,2017,4,3,Rainy,State Highway,Car,Poor Road Condition,Grievous Injury
Madhya Pradesh,Jaipur,2017,1,0,Foggy,National Highway,Two-Wheeler,Wrong Side Driving,Grievous Injury
Uttar Pradesh,Bhopal,2019,4,22,Clear,State Highway,Auto Rickshaw,Signal Jumping,Fatal
Madhya Pradesh,Nagpur,2021,7,9,Foggy,National Highway,Two-Wheeler,Signal Jumping,Grievous Injury
Andhra Pradesh,Hyderabad,2021,3,3,Clear,State Highway,Bus,Mechanical Failure,Minor Injury
Maharashtra,Bhopal,2020,10,12,Clear,National Highway,Auto Rickshaw,Poor Road Condition,Minor Injury
Gujarat,Mumbai,2017,6,3,Foggy,State Highway,Auto Rickshaw,Overspeeding,Grievous Injury
Andhra Pradesh,Jaipur,2019,1,15,Clear,Rural Road,Truck,Signal Jumping,Minor Injury
Rajasthan,Chennai,2018,11,8,Rainy,State Highway,Bus,Mechanical Failure,Grievous Injury
Uttar Pradesh,Chennai,2018,4,3,Cloudy,Urban Road,Bus,Mechanical Failure,Grievous Injury
Karnataka,Jaipur,2020,3,19,Foggy,National Highway,Truck,Drunk Driving,Fatal
Gujarat,Bhopal,2020,1,7,Clear,State Highway,Car,Mechanical Failure,Minor Injury
Gujarat,Bengaluru,2017,3,3,Rainy,Urban Road,Truck,Overspeeding,Minor Injury
Maharashtra,Bhopal,2017,4,8,Cloudy,National Highway,Bus,Drunk Driving,Minor Injury
Telangana,Kochi,2018,5,10,Clear,State Highway,Auto Rickshaw,Signal Jumping,Fatal
Gujarat,Bhopal,2018,6,23,Clear,State Highway,Car,Poor Road Condition,Fatal
Tamil Nadu,Bengaluru,2018,2,4,Rainy,Rural Road,Bus,Signal Jumping,Minor Injury
Uttar Pradesh,Nagpur,2018,2,8,Cloudy,State Highway,Bus,Mechanical Failure,Minor Injury
Uttar Pradesh,Mumbai,2021,6,7,Cloudy,National Highway,Truck,Wrong Side Driving,Minor Injury
Tamil Nadu,Bhopal,2017,5,3,Rainy,Urban Road,Two-Wheeler,Overspeeding,Minor Injury
Kerala,Mumbai,2017,1,19,Cloudy,State Highway,Bus,Overspeeding,Grievous Injury
Tamil Nadu,Hyderabad,2018,3,0,Foggy,Urban Road,Two-Wheeler,Mechanical Failure,Minor Injury
Tamil Nadu,Chennai,2019,11,19,Cloudy,National Highway,Car,Overspeeding,Minor Injury
Uttar Pradesh,Chennai,2018,5,12,Clear,National Highway,Auto Rickshaw,Drunk Driving,Minor Injury
Madhya Pradesh,Bengaluru,2022,12,23,Cloudy,State Highway,Two-Wheeler,Mechanical Failure,Minor Injury
Uttar Pradesh,Hyderabad,2023,12,4,Foggy,Rural Road,Two-Wheeler,Wrong Side Driving,Minor Injury
Telangana,Chennai,2023,2,21,Foggy,State Highway,Two-Wheeler,Signal Jumping,Grievous Injury
Maharashtra,Bengaluru,2020,1,19,Clear,Rural Road,Two-Wheeler,Overspeeding,Grievous Injury
Andhra Pradesh,Bhopal,2022,9,20,Clear,State Highway,Two-Wheeler,Poor Road Condition,Minor Injury
Madhya Pradesh,Hyderabad,2019,5,9,Foggy,Urban Road,Car,Signal Jumping,Minor Injury
Karnataka,Kochi,2020,2,15,Rainy,Rural Road,Bus,Wrong Side Driving,Minor Injury
Andhra Pradesh,Kochi,2023,10,7,Foggy,Rural Road,Auto Rickshaw,Wrong Side Driving,Grievous Injury
Maharashtra,Kochi,2019,4,11,Cloudy,Urban Road,Bus,Drunk Driving,Minor Injury
Telangana,Nagpur,2020,3,2,Clear,State Highway,Car,Wrong Side Driving,Minor Injury
Telangana,Kochi,2018,7,3,Rainy,National Highway,Car,Wrong Side Driving,Minor Injury
Karnataka,Hyderabad,2018,1,16,Foggy,National Highway,Two-Wheeler,Overspeeding,Fatal
Madhya Pradesh,Pune,2019,10,20,Clear,State Highway,Car,Signal Jumping,Minor Injury
Kerala,Chennai,2020,12,19,Cloudy,Urban Road,Car,Poor Road Condition,Minor Injury
Tamil Nadu,Kochi,2021,12,21,Rainy,National Highway,Two-Wheeler,Overspeeding,Minor Injury
Madhya Pradesh,Hyderabad,2019,4,21,Rainy,Urban Road,Car,Overspeeding,Grievous Injury
Kerala,Ahmedabad,2019,7,12,Rainy,State Highway,Car,Mechanical Failure,Grievous Injury
Telangana,Bhopal,2022,11,5,Cloudy,Urban Road,Car,Poor Road Condition,Minor Injury
Uttar Pradesh,Nagpur,2017,10,2,Clear,Urban Road,Truck,Mechanical Failure,Minor Injury
Maharashtra,Mumbai,2019,5,13,Foggy,Urban Road,Bus,Drunk Driving,Minor Injury
Karnataka,Bengaluru,2021,4,6,Clear,National Highway,Truck,Poor Road Condition,Fatal
Maharashtra,Ahmedabad,2018,4,2,Cloudy,Urban Road,Bus,Drunk Driving,Minor Injury
Rajasthan,Ahmedabad,2020,11,5,Clear,Rural Road,Two-Wheeler,Wrong Side Driving,Grievous Injury
Rajasthan,Nagpur,2017,12,12,Rainy,Urban Road,Two-Wheeler,Drunk Driving,Fatal
Madhya Pradesh,Bengaluru,2020,2,13,Foggy,Urban Road,Bus,Drunk Driving,Minor Injury
Telangana,Nagpur,2018,8,14,Cloudy,State Highway,Bus,Wrong Side Driving,Minor Injury
Telangana,Kochi,2019,12,15,Rainy,Urban Road,Auto Rickshaw,Signal Jumping,Minor Injury
Tamil Nadu,Mumbai,2022,4,0,Clear,Urban Road,Bus,Wrong Side Driving,Fatal
Tamil Nadu,Bengaluru,2021,2,14,Rainy,National Highway,Bus,Wrong Side Driving,Minor Injury
Tamil Nadu,Hyderabad,2017,9,23,Clear,Rural Road,Two-Wheeler,Signal Jumping,Minor Injury
Uttar Pradesh,Chennai,2021,12,6,Clear,State Highway,Two-Wheeler,Wrong Side Driving,Minor Injury
Andhra Pradesh,Nagpur,2023,10,8,Cloudy,Rural Road,Car,Mechanical Failure,Minor Injury
Gujarat,Mumbai,2021,7,14,Clear,Urban Road,Car,Drunk Driving,Fatal
Andhra Pradesh,Bhopal,2021,3,13,Rainy,National Highway,Two-Wheeler,Wrong Side Driving,Grievous Injury
Maharashtra,Pune,2021,7,18,Cloudy,Rural Road,Car,Overspeeding,Minor Injury
Andhra Pradesh,Bhopal,2018,1,23,Foggy,Rural Road,Truck,Drunk Driving,Fatal
Uttar Pradesh,Pune,2021,12,17,Cloudy,Rural Road,Truck,Mechanical Failure,Grievous Injury
Maharashtra,Jaipur,2022,1,8,Rainy,Rural Road,Car,Mechanical Failure,Fatal
Andhra Pradesh,Hyderabad,2021,4,0,Clear,Rural Road,Car,Wrong Side Driving,Grievous Injury
Uttar Pradesh,Jaipur,2018,4,11,Cloudy,National Highway,Bus,Signal Jumping,Grievous Injury
Gujarat,Nagpur,2020,4,9,Cloudy,Urban Road,Bus,Overspeeding,Grievous Injury
Andhra Pradesh,Nagpur,2018,9,6,Cloudy,National Highway,Truck,Wrong Side Driving,Minor Injury
Uttar Pradesh,Pune,2023,6,13,Rainy,National Highway,Truck,Signal Jumping,Minor Injury
Tamil Nadu,Bengaluru,2023,3,0,Clear,National Highway,Bus,Mechanical Failure,Minor Injury
Telangana,Mumbai,2022,6,14,Foggy,National Highway,Bus,Drunk Driving,Minor Injury
Tamil Nadu,Kochi,2022,2,21,Foggy,Urban Road,Bus,Mechanical Failure,Grievous Injury
Telangana,Ahmedabad,2019,2,0,Clear,Urban Road,Car,Wrong Side Driving,Fatal
Karnataka,Nagpur,2018,7,12,Foggy,National Highway,Two-Wheeler,Signal Jumping,Grievous Injury
Karnataka,Jaipur,2020,3,19,Clear,Rural Road,Truck,Wrong Side Driving,Fatal
Karnataka,Jaipur,2019,7,22,Cloudy,Urban Road,Auto Rickshaw,Mechanical Failure,Minor Injury
Gujarat,Bhopal,2019,3,1,Cloudy,Urban Road,Bus,Overspeeding,Grievous Injury
Tamil Nadu,Hyderabad,2017,12,2,Rainy,National Highway,Car,Mechanical Failure,Fatal
Telangana,Pune,2021,12,3,Cloudy,Rural Road,Truck,Wrong Side Driving,Grievous Injury
